City,Figure,Per capita,Date,Source,Notes
Amsterdam,136 ,,2014,LISA,
Austin,45 ,,2018,ReferenceUSAGov/CAD - CAMP,
Bogotá,173 ,,2016,Cámara Colombiana del Libro & Acli,
Buenos Aires,690 ,,2016,CAPLA/SINCA,
Cape Town,43 ,,,Various online resources,
Chengdu,"3,463 ",,2018,Chengdu Media Group,
Dakar,4 ,,2016,Ville de Dakar,
Dublin,62 ,,2015,Booksellers Association UK and Ireland,
Edinburgh,52 ,,2013,UNESCO Edinburgh City of Literature Trust,
Helsinki,20 ,,2018,google maps,
Hong Kong,"1,312 ",,2016,Census and Statistics Department,
Istanbul,134 ,,2015,Yellow Pages,
Johannesburg,"1,020 ",,2012,VANSA/SABDA,
Lagos,68 ,,2018,Lagos State Government,
Lisbon,210 ,,2017,"Direção-Geral do Livro, dos Arquivos e das Bibliotecas",
London,360 ,,2015,Booksellers Association,
Los Angeles,474 ,,2013,Bowker,
Madrid,497 ,,2014,Paginas Amarillas,
Melbourne,"1,649 ",,2018,Yellow Pages,
Milan,141 ,,2017,AIE- Ufficio Studi,
Montréal,108 ,,2013,Banque de données des statistiques officielles sur le Québec,
Moscow,565 ,,2018,2GIS,
New York,814 ,,2018,Yelp / BOP,
Oslo,66 ,,2018,Bokhandlerforeningen,The figure does not include second hand book shops
Paris,"1,251 ",,2018,Pages jaunes,
Rome,438 ,,2017,Confcommercio Roma Ali,
San Francisco,77 ,,2017,SF Chronicle blog,
Seoul,540 ,,2018,Seoul Foundation for Arts and Culture,Seoul culture index 2017
Shanghai,"3,800 ",,2014,Shanghai Theatre Academy,
Shenzhen,709 ,,2018,Dianping.com,
Singapore,164 ,,2016,Eguide Singapore Business Directory,
Stockholm,70 ,,2015,Svenska Bokhandlareföreningen,Members of Svenska Bokhandlareföreningen
Sydney,258 ,,2018,Yellow Pages,Data concerns Greater Sydney region
Taipei,441 ,,2017,Ministry of Finance,
Tokyo,"1,646 ",,2016,Nippon Shuppan Hanbai Inc,Actual situation of Publication Sales 2017
Toronto,365 ,,2018,Yellow Pages,
