City,Figure,Per capita,Date,Source,Notes
Amsterdam,42.0%,,2013,Statistics Netherlands/TNO,
Netherlands,35.0%,,2011,Statistics Netherlands/TNO,
Austin,49.2%,,2016,Census Reporter,ACS 2016 1-year
United States,30.3%,,2016,U.S. Census Bureau,
Bogotá,21.5%,,2005,Departamento Administrativo Nacional de Estadística (DANE),
Colombia,11.6%,,2005,Departamento Administrativo Nacional de Estadística (DANE),
Dakar,,,,,
Senegal,6.0%,,2016,Statistiques de l'education Dakar,
Dublin,42.7%,,2016,Census,
Ireland,39.6%,,2016,Census,
Edinburgh,38.9%,,2017,Annual Population Survey (APS),
Scotland,27.5%,,2017,Annual Population Survey (APS),
Helsinki,49.0%,,2016,Statistics Finland,25-64 years old
Finland,39.0%,,2016,Statistics Finland,25-64 years old
Hong Kong,24.0%,,2016,Census and Statistics Department,
Istanbul,17.0%,,2014,Turkish Statistical Institute,
Turkey,14.0%,,2014,Turkish Statistical Institute,
Johannesburg,32.0%,,2010,State of the Cities Report 2011,
South Africa,24.0%,,2010,State of the Cities Report 2011,
Lisbon,31.0%,,2011,Pordata,
Portugal,14.0%,,2011,Pordata,
London,56.0%,,2017,Office for National Statistics,working age (21-64 years)
United Kingdom,42.0%,,2017,Office for National Statistics,working age (21-64 years)
Los Angeles,30.8%,,2012-16,US Census,Bachelor's degree or higher (does not include people with 2-year Associates degrees)
United States,30.3%,,2012-16,US Census,Bachelor's degree or higher (does not include people with 2-year Associates degrees)
Madrid,31.9%,,2014,Ayuntamiento de Madrid/Padron municipal,
Spain,32.0%,,2011,"Ministry for Education, Culture ans Sports (Spanish Government)",
Melbourne,61.0%,,2016,Australian Bureau of Statistics,
Australia,47.0%,,2016,Australian Bureau of Statistics,
Milan,33.0%,,2016,Comune di Milano - Unità Statistica,
Italy,11.0%,,2016,ISTAT,
Montréal,44.6%,,2016,Statistique Canada,
Canada,45.0%,,2016,Statistique Canada,
Moscow,43.0%,,2010,All Russian Population Census,
Russia,23.0%,,2010,All Russian Population Census,
New York,36.2%,,2016,U.S. Census Bureau,
United States,30.3%,,2016,U.S. Census Bureau,
Oslo,50.7%,,2017,Statistics Norway,
Norway,33.3%,,2017,Statistics Norway,
Paris,40.4%,,2015,Insee,Insee RP 2015 (moyenne 2013-2017))
France,28.5%,,2015,Insee,Insee RP 2015 (moyenne 2013-2017))
Rome,36.5%,,2016,Roma Capitale,
Italy,26.9%,,2017,EUROSTAT,
San Francisco,54.8%,,2012-16,U.S. Census Bureau,
United States,30.3%,,2012-16,U.S. Census Bureau,
Seoul,35.8%,,2015,Statistics Korea,
Korea,28.8%,,2015,Statistics Korea,
Shanghai,42.9%,,2011,Statistics Shanghai,
China,14.0%,,2011,National Bureau of Statistics of the People's Republic of China,
Shenzhen,22.0%,,2015,Shenzhen Statistics Bureau,
China,22.5%,,2010,National Bureau of Statistics of the People's Republic of China,
Singapore,54.2%,,2017,Department of Statistics Singapore,
Stockholm,58.0%,,2015,City of Stockholm,Stockholm City
Sweden,41.0%,,2013,Public Health Agency of Sweden,
Sydney,37.6%,,2016,Australian Bureau of Statistics,2016 Census
Australia,31.0%,,2016,Australian Bureau of Statistics,2016 Census
Tapei,52.8%,,2017,"Department of Statistics, Ministry of the Interior",
Taiwan,39.2%,,2017,"Department of Statistics, Ministry of the Interior",
Tokyo,37.9%,,2010,2010 Population Census of Japan,
Japan,30.1%,,2010,2010 Population Census of Japan,
Toronto,59.1%,,2016,Statistics Canada 2016 Census,
Canada,55.3%,,2016,Statistics Canada 2016 Census,
Vienna,23.0%,,2014,Vienna Annual Statistics 2014,
Warsaw,25.3%,,2011,Central Statistical Office of Poland - National General Registration,
Poland,17.5%,,2011,Central Statistical Office of Poland - National General Registration,
Zürich,47.0%,,2015,Statistics City of Zürich,
Switzerland,29.0%,,2015,Statistics City of Zürich,
